Fecha;ID_Exp;Tiempo(s);Final_Loss;Min_Loss;Mean_Loss;Batch_Size;Epochs;LR;Config_Modelo;Historial_Loss
2026-05-09 21:36:43;092136;5317.76;1.002564;1.002564;1.483375;64;32;0.0001;Channels: [32, 64, 128] | 80/20 Split;[3.533294011564816, 2.331791274687823, 2.077295693404534, 1.924694365438293, 1.8337779641151428, 1.781086851568783, 1.7118132973418516, 1.6474831682794235, 1.5804097494658302, 1.544995170305757, 1.5169769499231787, 1.4723129710730385, 1.455262516351307, 1.421002522110939, 1.3959312123410843, 1.3745523033773197, 1.349479541182518, 1.3422961559365778, 1.311345727128141, 1.2977731258553618, 1.278356886085342, 1.2560699634692247, 1.2531887810019886, 1.2285079504637157, 1.1398796632009394, 1.1117819758022534, 1.0911974416059607, 1.0667196038891287, 1.0674326301497572, 1.0431373627746807, 1.0256027079680388, 1.0025635997162146]
2026-05-10 17:19:52;101719;647.1;2.136637;2.136637;2.805916;64;4;0.0001;Channels: [32, 64, 128] | 80/20 Split;[3.913662009379443, 2.367448717355728, 2.1366374965976265]
2026-05-10 19:00:39;101900;5810.76;0.854815;0.854815;1.356222;64;35;0.0001;Channels: [32, 64, 128] | 80/20 Split;[3.275093781597474, 2.199977061327766, 1.9840710820520626, 1.850859722670387, 1.7425356481005163, 1.6779345098663778, 1.619920426431824, 1.5806181781432207, 1.5472160306046991, 1.5054057599867092, 1.4619373056818457, 1.4426116364843704, 1.3976617692147983, 1.3747611659414627, 1.3510587215423584, 1.332846075296402, 1.3031978037427454, 1.280145433895728, 1.2071915619513567, 1.1769568170694744, 1.1535541949903263, 1.15154818533098, 1.127391579834854, 1.1106557412182583, 1.10074831501526, 1.073972863747793, 1.01296649610295, 0.9849339824389008, 0.9790502782253658, 0.9636723548173904, 0.9406795116031871, 0.9375593631583101, 0.8946931563756045, 0.86953054324669, 0.8548145210918259]
